#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1890_g               -            890 2962at5794           -            660         0 1221.5   3.0   1   2  2.9e-160  1.1e-157  524.4   0.0     1   331    19   380    19   426 0.86 -
1890_g               -            890 2962at5794           -            660         0 1221.5   3.0   2   2  5.2e-212  2.1e-209  695.4   1.8   289   656   461   878   446   883 0.91 -
1423_g               -            305 2962at5794           -            660   2.2e-82  275.7   0.2   1   1   6.7e-85   2.7e-82  275.4   0.2   327   644     8   301     3   304 0.91 -
4180_g               -            467 2962at5794           -            660   3.6e-66  222.1   1.9   1   1   1.1e-68   4.5e-66  221.8   1.9   348   626   173   435    96   446 0.88 -
3175_g               -           2167 2962at5794           -            660   4.2e-65  218.6  11.4   1   2   1.9e-12   7.7e-10   36.0   0.8   339   407  1200  1269  1098  1295 0.71 -
3175_g               -           2167 2962at5794           -            660   4.2e-65  218.6  11.4   2   2   7.1e-58   2.8e-55  186.1   4.3   412   632  1304  1558  1288  1578 0.77 -
3839_g               -            309 2962at5794           -            660   7.4e-63  211.2   0.4   1   1   2.4e-65   9.7e-63  210.8   0.4   342   627    14   278     7   292 0.91 -
4201_g               -            313 2962at5794           -            660   2.9e-62  209.2   2.1   1   1   9.3e-65   3.7e-62  208.9   2.1   348   631    18   279     6   304 0.91 -
707_g                -            605 2962at5794           -            660   2.5e-58  196.2   0.7   1   2     2e-60   7.8e-58  194.6   0.3   347   625    51   322    40   333 0.89 -
707_g                -            605 2962at5794           -            660   2.5e-58  196.2   0.7   2   2      0.33   1.3e+02   -1.2   0.0    89   109   548   568   541   575 0.88 -
521_g                -            659 2962at5794           -            660   2.7e-51  173.0   1.0   1   1     1e-53   4.1e-51  172.4   1.0   282   626   292   625   281   640 0.84 -
1503_g               -           2421 2962at5794           -            660     1e-46  157.8   2.8   1   3   2.6e-49     1e-46  157.8   2.8   324   632   178   483   151   505 0.77 -
1503_g               -           2421 2962at5794           -            660     1e-46  157.8   2.8   2   3       1.9   7.6e+02   -3.6   0.8   306   353   730   777   708   852 0.66 -
1503_g               -           2421 2962at5794           -            660     1e-46  157.8   2.8   3   3      0.44   1.8e+02   -1.6   1.2   312   382  1764  1840  1751  1859 0.75 -
2125_g               -           1090 2962at5794           -            660   4.5e-18   63.2   0.4   1   2    0.0015       0.6    6.6   0.0    40    90   150   205   133   210 0.76 -
2125_g               -           1090 2962at5794           -            660   4.5e-18   63.2   0.4   2   2   7.8e-18   3.1e-15   53.8   0.6    92   348   397   690   374   766 0.63 -
2779_g               -            593 2962at5794           -            660   1.5e-14   51.5   0.3   1   3   5.9e-07   0.00024   17.9   0.0   158   270   237   344   178   347 0.46 -
2779_g               -            593 2962at5794           -            660   1.5e-14   51.5   0.3   2   3   1.4e-09   5.5e-07   26.5   0.0    12   149   240   381   228   386 0.73 -
2779_g               -            593 2962at5794           -            660   1.5e-14   51.5   0.3   3   3   1.3e-07   5.4e-05   20.0   0.0    28   139   367   482   362   495 0.76 -
2151_g               -            577 2962at5794           -            660     1e-11   42.2   0.1   1   2     0.051        20    1.5   0.0   107   152   140   186   131   214 0.65 -
2151_g               -            577 2962at5794           -            660     1e-11   42.2   0.1   2   2   2.3e-13   9.2e-11   39.0   0.0    68   365   209   515   171   536 0.69 -
3218_g               -            892 2962at5794           -            660   9.3e-09   32.4   0.0   1   3   7.8e-10   3.1e-07   27.4   0.0     2   128    75   215    73   247 0.81 -
3218_g               -            892 2962at5794           -            660   9.3e-09   32.4   0.0   2   3      0.96   3.9e+02   -2.7   0.0   103   130   361   388   310   397 0.67 -
3218_g               -            892 2962at5794           -            660   9.3e-09   32.4   0.0   3   3     0.052        21    1.5   0.0    79   103   414   438   406   469 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/2962at5794.hmm
# Target file:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pf_new.faa
# Option settings: hmmsearch --domtblout /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pf/run_apicomplexa_odb10/hmmer_output/initial_run_results/2962at5794.out --cpu 1 /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/2962at5794.hmm /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pf_new.faa 
# Current dir:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed
# Date:            Wed Mar  1 19:29:19 2023
# [ok]
