#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
6791_g               -           2517 4086at5794           -            801         0 1172.4  32.0   1   6   9.3e-63   3.6e-60  203.9   0.1     9   154   250   406   244   418 0.91 -
6791_g               -           2517 4086at5794           -            801         0 1172.4  32.0   2   6   6.1e-99   2.4e-96  323.6   4.4   139   324   433   621   425   628 0.94 -
6791_g               -           2517 4086at5794           -            801         0 1172.4  32.0   3   6      0.16        61    1.4   0.0   328   348   865   885   859   897 0.84 -
6791_g               -           2517 4086at5794           -            801         0 1172.4  32.0   4   6   1.7e-13   6.4e-11   41.0   0.0   343   407   963  1045   950  1050 0.80 -
6791_g               -           2517 4086at5794           -            801         0 1172.4  32.0   5   6   6.7e-10   2.6e-07   29.1   0.0   400   437  1068  1105  1057  1109 0.89 -
6791_g               -           2517 4086at5794           -            801         0 1172.4  32.0   6   6  8.4e-174  3.3e-171  571.2  12.8   432   800  1132  1503  1124  1504 0.94 -
8122_g               -           2517 4086at5794           -            801         0 1172.4  32.0   1   6   9.3e-63   3.6e-60  203.9   0.1     9   154   250   406   244   418 0.91 -
8122_g               -           2517 4086at5794           -            801         0 1172.4  32.0   2   6   6.1e-99   2.4e-96  323.6   4.4   139   324   433   621   425   628 0.94 -
8122_g               -           2517 4086at5794           -            801         0 1172.4  32.0   3   6      0.16        61    1.4   0.0   328   348   865   885   859   897 0.84 -
8122_g               -           2517 4086at5794           -            801         0 1172.4  32.0   4   6   1.7e-13   6.4e-11   41.0   0.0   343   407   963  1045   950  1050 0.80 -
8122_g               -           2517 4086at5794           -            801         0 1172.4  32.0   5   6   6.7e-10   2.6e-07   29.1   0.0   400   437  1068  1105  1057  1109 0.89 -
8122_g               -           2517 4086at5794           -            801         0 1172.4  32.0   6   6  8.4e-174  3.3e-171  571.2  12.8   432   800  1132  1503  1124  1504 0.94 -
11207_g              -           1594 4086at5794           -            801  1.2e-136  456.9  19.4   1   4   1.3e-08   5.2e-06   24.8   0.0    11    82   277   345   268   369 0.84 -
11207_g              -           1594 4086at5794           -            801  1.2e-136  456.9  19.4   2   4   2.8e-57   1.1e-54  185.8   5.5    83   324   480   726   477   743 0.87 -
11207_g              -           1594 4086at5794           -            801  1.2e-136  456.9  19.4   3   4   1.9e-75   7.5e-73  245.8   0.8   408   639  1036  1290  1001  1298 0.84 -
11207_g              -           1594 4086at5794           -            801  1.2e-136  456.9  19.4   4   4    0.0039       1.5    6.7   0.1   703   796  1395  1486  1378  1490 0.84 -
12004_g              -           1594 4086at5794           -            801  1.2e-136  456.9  19.4   1   4   1.3e-08   5.2e-06   24.8   0.0    11    82   277   345   268   369 0.84 -
12004_g              -           1594 4086at5794           -            801  1.2e-136  456.9  19.4   2   4   2.8e-57   1.1e-54  185.8   5.5    83   324   480   726   477   743 0.87 -
12004_g              -           1594 4086at5794           -            801  1.2e-136  456.9  19.4   3   4   1.9e-75   7.5e-73  245.8   0.8   408   639  1036  1290  1001  1298 0.84 -
12004_g              -           1594 4086at5794           -            801  1.2e-136  456.9  19.4   4   4    0.0039       1.5    6.7   0.1   703   796  1395  1486  1378  1490 0.84 -
12472_g              -           1875 4086at5794           -            801  9.9e-100  334.7  16.2   1   4   1.4e-15   5.6e-13   47.8   0.4    13   153   546   694   539   717 0.81 -
12472_g              -           1875 4086at5794           -            801  9.9e-100  334.7  16.2   2   4   2.3e-28   8.9e-26   90.1   0.2   148   324   768   951   748   959 0.77 -
12472_g              -           1875 4086at5794           -            801  9.9e-100  334.7  16.2   3   4   6.1e-15   2.4e-12   45.7   0.3   363   464  1154  1289  1149  1296 0.78 -
12472_g              -           1875 4086at5794           -            801  9.9e-100  334.7  16.2   4   4   2.1e-48     8e-46  156.4   0.4   484   657  1355  1528  1341  1540 0.93 -
10049_g              -           1898 4086at5794           -            801   1.1e-99  334.6  16.2   1   4   1.5e-15   5.6e-13   47.8   0.4    13   153   546   694   539   717 0.81 -
10049_g              -           1898 4086at5794           -            801   1.1e-99  334.6  16.2   2   4   2.3e-28     9e-26   90.1   0.2   148   324   768   951   748   959 0.77 -
10049_g              -           1898 4086at5794           -            801   1.1e-99  334.6  16.2   3   4   6.2e-15   2.4e-12   45.7   0.3   363   464  1154  1289  1149  1296 0.78 -
10049_g              -           1898 4086at5794           -            801   1.1e-99  334.6  16.2   4   4   2.1e-48   8.1e-46  156.4   0.4   484   657  1355  1528  1341  1540 0.93 -
7006_g               -           1219 4086at5794           -            801   2.5e-43  148.2   5.4   1   6       1.7   6.6e+02   -2.0   0.0   382   408   506   532   502   540 0.83 -
7006_g               -           1219 4086at5794           -            801   2.5e-43  148.2   5.4   2   6   4.2e-09   1.6e-06   26.4   0.0   424   468   635   682   630   701 0.82 -
7006_g               -           1219 4086at5794           -            801   2.5e-43  148.2   5.4   3   6   1.3e-12   5.2e-10   38.0   0.2   490   534   743   788   737   792 0.90 -
