#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2560_g               -           1193 3366at5794           -            699         0 1073.4  40.3   1   5   2.8e-05     0.017   11.7   4.2    13    50   292   334   279   343 0.81 -
2560_g               -           1193 3366at5794           -            699         0 1073.4  40.3   2   5   2.8e-08   1.7e-05   21.6   0.7    15    88   346   419   338   426 0.66 -
2560_g               -           1193 3366at5794           -            699         0 1073.4  40.3   3   5  2.6e-123  1.6e-120  401.8   7.5    84   346   442   740   439   746 0.92 -
2560_g               -           1193 3366at5794           -            699         0 1073.4  40.3   4   5  8.7e-196  5.3e-193  641.4   0.4   342   670   764  1116   758  1131 0.93 -
2560_g               -           1193 3366at5794           -            699         0 1073.4  40.3   5   5   3.1e-05     0.019   11.5   0.7   668   698  1145  1177  1137  1178 0.84 -
1657_g               -            942 3366at5794           -            699  8.4e-114  379.6   8.1   1   2   1.5e-21   9.5e-19   65.4   1.6    60   267   104   341    40   350 0.63 -
1657_g               -            942 3366at5794           -            699  8.4e-114  379.6   8.1   2   2   9.3e-97   5.7e-94  314.0   0.6   290   613   418   744   410   760 0.89 -
3354_g               -            855 3366at5794           -            699  4.3e-105  350.8   1.1   1   2      0.11        66   -0.2   0.1   147   199   148   201   115   211 0.71 -
3354_g               -            855 3366at5794           -            699  4.3e-105  350.8   1.1   2   2  2.3e-107  1.4e-104  349.1   0.1   211   617   254   672   240   705 0.86 -
1096_g               -            945 3366at5794           -            699  7.6e-100  333.5  13.1   1   4      0.33     2e+02   -1.8   0.0   103   145   203   245   198   257 0.66 -
1096_g               -            945 3366at5794           -            699  7.6e-100  333.5  13.1   2   4   5.9e-08   3.6e-05   20.5   0.2   147   202   277   332   267   346 0.92 -
1096_g               -            945 3366at5794           -            699  7.6e-100  333.5  13.1   3   4   1.3e-11   7.9e-09   32.6   0.2   200   295   358   458   349   487 0.83 -
1096_g               -            945 3366at5794           -            699  7.6e-100  333.5  13.1   4   4   1.7e-88   1.1e-85  286.7   1.1   294   608   495   831   481   844 0.85 -
2350_g               -            828 3366at5794           -            699     5e-94  314.2   1.8   1   1   1.8e-96   1.1e-93  313.1   1.8   213   615   282   721   201   797 0.81 -
893_g                -            953 3366at5794           -            699   6.2e-90  300.7  22.3   1   4   0.00024      0.14    8.6   0.5   154   196   186   231    30   285 0.77 -
893_g                -            953 3366at5794           -            699   6.2e-90  300.7  22.3   2   4   1.2e-90   7.2e-88  293.9   0.1   218   533   289   616   279   646 0.88 -
893_g                -            953 3366at5794           -            699   6.2e-90  300.7  22.3   3   4     7e-06    0.0043   13.7   0.0   565   618   724   784   682   789 0.80 -
893_g                -            953 3366at5794           -            699   6.2e-90  300.7  22.3   4   4         8   4.9e+03   -9.6  10.0    11    56   802   845   792   866 0.39 -
3350_g               -            990 3366at5794           -            699   7.9e-79  264.0  13.2   1   3   4.8e-10   2.9e-07   27.4   5.0   147   274   183   338   172   382 0.78 -
3350_g               -            990 3366at5794           -            699   7.9e-79  264.0  13.2   2   3   7.1e-65   4.4e-62  208.6   0.0   318   538   535   759   503   774 0.85 -
3350_g               -            990 3366at5794           -            699   7.9e-79  264.0  13.2   3   3   3.4e-11   2.1e-08   31.2   0.3   531   614   792   881   784   889 0.80 -
4583_g               -           1216 3366at5794           -            699   4.3e-48  162.4  17.3   1   4     0.013         8    2.9   1.1   113   223   292   400   235   425 0.74 -
4583_g               -           1216 3366at5794           -            699   4.3e-48  162.4  17.3   2   4   8.9e-05     0.054   10.0   0.2   210   293   486   565   469   593 0.69 -
4583_g               -           1216 3366at5794           -            699   4.3e-48  162.4  17.3   3   4     2e-40   1.2e-37  127.8   0.4   349   521   811   984   798  1011 0.81 -
4583_g               -           1216 3366at5794           -            699   4.3e-48  162.4  17.3   4   4   3.9e-11   2.4e-08   31.0   0.2   526   633  1035  1145  1015  1179 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/3366at5794.hmm
# Target file:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Py_new.faa
# Option settings: hmmsearch --domtblout /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Py/run_apicomplexa_odb10/hmmer_output/initial_run_results/3366at5794.out --cpu 1 /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/3366at5794.hmm /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Py_new.faa 
# Current dir:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed
# Date:            Wed Mar  1 19:33:13 2023
# [ok]
