#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
2523_g               -           1475 1482at5794           -            857         0 1145.9  45.7   1   6   1.6e-43   1.9e-40  137.1   5.6     1   156    88   279    88   292 0.81 -
2523_g               -           1475 1482at5794           -            857         0 1145.9  45.7   2   6   1.2e-23   1.4e-20   71.3   4.7   168   260   374   475   324   516 0.82 -
2523_g               -           1475 1482at5794           -            857         0 1145.9  45.7   3   6   4.5e-62   5.5e-59  198.4   0.3   244   434   554   802   532   814 0.84 -
2523_g               -           1475 1482at5794           -            857         0 1145.9  45.7   4   6   3.6e-77   4.3e-74  248.4   2.0   428   570   920  1065   911  1079 0.93 -
2523_g               -           1475 1482at5794           -            857         0 1145.9  45.7   5   6   5.6e-57   6.7e-54  181.6   0.0   556   680  1082  1227  1073  1234 0.85 -
2523_g               -           1475 1482at5794           -            857         0 1145.9  45.7   6   6  2.1e-101   2.5e-98  328.6   2.7   676   856  1275  1468  1255  1469 0.91 -
1234_g               -            439 1482at5794           -            857   1.1e-94  316.5   0.2   1   3   4.9e-18   5.9e-15   52.8   0.0   501   566     1    66     1    98 0.89 -
1234_g               -            439 1482at5794           -            857   1.1e-94  316.5   0.2   2   3     0.048        58   -0.2   0.0   565   604   117   156   107   173 0.77 -
1234_g               -            439 1482at5794           -            857   1.1e-94  316.5   0.2   3   3   6.6e-81     8e-78  260.7   0.1   571   802   162   396   141   418 0.88 -
1033_g               -            200 1482at5794           -            857   6.4e-54  181.7   1.0   1   1   5.8e-57     7e-54  181.5   1.0   659   854     2   198     1   199 0.89 -
4225_g               -            516 1482at5794           -            857   1.8e-48  163.7   4.6   1   2   3.1e-07   0.00038   17.0   0.1   310   339     5    34     1   156 0.85 -
4225_g               -            516 1482at5794           -            857   1.8e-48  163.7   4.6   2   2   9.4e-47   1.1e-43  147.8   1.3   409   559   163   316   157   341 0.93 -
4489_g               -            744 1482at5794           -            857   3.1e-25   86.7  12.7   1   3     1e-20   1.2e-17   61.6   2.2     2   123   214   356   213   418 0.73 -
4489_g               -            744 1482at5794           -            857   3.1e-25   86.7  12.7   2   3   0.00052      0.63    6.3   1.8   159   246   480   579   427   598 0.70 -
4489_g               -            744 1482at5794           -            857   3.1e-25   86.7  12.7   3   3   4.2e-09   5.1e-06   23.2   0.0   261   338   622   712   610   732 0.72 -
2486_g               -            459 1482at5794           -            857   3.6e-11   40.2   0.3   1   2    0.0041         5    3.4   0.1     2    32    52    82    51    86 0.91 -
2486_g               -            459 1482at5794           -            857   3.6e-11   40.2   0.3   2   2   1.2e-12   1.4e-09   35.0   0.0    66   121   159   214   117   231 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/1482at5794.hmm
# Target file:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pb_new.faa
# Option settings: hmmsearch --domtblout /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pb/run_apicomplexa_odb10/hmmer_output/initial_run_results/1482at5794.out --cpu 1 /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/1482at5794.hmm /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pb_new.faa 
# Current dir:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed
# Date:            Wed Mar  1 19:22:04 2023
# [ok]
