#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7   1  13   2.4e-87   6.5e-84  282.5   0.0    59   241    97   302    92   312 0.91 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7   2  13    0.0019       4.9    4.7   0.4   239   259   349   371   338   378 0.83 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7   3  13   2.7e-27   7.3e-24   83.6   0.2   258   313   448   503   440   513 0.94 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7   4  13   1.4e-32   3.7e-29  101.2   0.8   298   375   623   700   613   704 0.92 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7   5  13   1.7e-72   4.6e-69  233.3   0.2   371   499   763   893   759   898 0.94 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7   6  13   5.7e-21   1.5e-17   62.7   0.0   495   540   937   982   934  1000 0.92 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7   7  13   1.3e-23   3.3e-20   71.5   1.8   529   608  1070  1148  1035  1154 0.85 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7   8  13   1.2e-28   3.1e-25   88.2   0.4   582   647  1168  1236  1155  1241 0.91 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7   9  13   5.7e-66   1.5e-62  211.7   0.0   641   754  1317  1431  1314  1437 0.96 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7  10  13   2.7e-27   7.1e-24   83.7   0.0   749   803  1525  1580  1513  1610 0.85 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7  11  13   1.8e-65   4.8e-62  210.1   0.1   800   979  1651  1858  1643  1868 0.89 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7  12  13   1.6e-05     0.043   11.6   0.0   974  1005  1890  1921  1866  1933 0.79 -
10060_g              -           2487 1619at5794           -           1050         0 1422.9  51.7  13  13    0.0021       5.5    4.6   0.2   999  1031  1968  2002  1955  2021 0.73 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2   1  14   7.3e-46   1.9e-42  145.1   0.0    59   154    97   212    93   213 0.88 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2   2  14   6.7e-18   1.8e-14   52.6   0.1   193   241   212   260   209   270 0.91 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2   3  14    0.0018       4.8    4.8   0.4   239   259   307   329   296   336 0.83 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2   4  14   2.7e-27   7.1e-24   83.7   0.2   258   313   406   461   398   471 0.94 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2   5  14   1.4e-32   3.6e-29  101.2   0.8   298   375   581   658   571   662 0.92 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2   6  14   1.7e-72   4.5e-69  233.3   0.2   371   499   721   851   717   856 0.94 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2   7  14   5.6e-21   1.5e-17   62.8   0.0   495   540   895   940   892   958 0.92 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2   8  14   1.2e-23   3.3e-20   71.5   1.8   529   608  1028  1106   993  1112 0.85 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2   9  14   1.1e-28     3e-25   88.2   0.4   582   647  1126  1194  1113  1199 0.91 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2  10  14   5.6e-66   1.5e-62  211.7   0.0   641   754  1275  1389  1272  1395 0.96 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2  11  14   2.6e-27     7e-24   83.7   0.0   749   803  1483  1538  1471  1568 0.85 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2  12  14   1.8e-65   4.7e-62  210.1   0.1   800   979  1609  1816  1601  1826 0.89 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2  13  14   1.6e-05     0.042   11.6   0.0   974  1005  1848  1879  1824  1891 0.79 -
12460_g              -           2445 1619at5794           -           1050         0 1336.1  54.2  14  14     0.002       5.4    4.6   0.2   999  1031  1926  1960  1913  1979 0.73 -
1633_g               -           1820 1619at5794           -           1050   4.1e-10   38.1   0.0   1   2    0.0062        17    3.0   0.0   620   663   273   317   264   350 0.68 -
1633_g               -           1820 1619at5794           -           1050   4.1e-10   38.1   0.0   2   2   6.4e-12   1.7e-08   32.8   0.0   691   799   433   540   421   546 0.86 -
816_g                -           1820 1619at5794           -           1050   4.1e-10   38.1   0.0   1   2    0.0062        17    3.0   0.0   620   663   273   317   264   350 0.68 -
816_g                -           1820 1619at5794           -           1050   4.1e-10   38.1   0.0   2   2   6.4e-12   1.7e-08   32.8   0.0   691   799   433   540   421   546 0.86 -
1008_g               -           1784 1619at5794           -           1050   3.4e-07   28.5   0.0   1   4      0.07   1.9e+02   -0.5   0.0    53   112   370   434   351   443 0.63 -
1008_g               -           1784 1619at5794           -           1050   3.4e-07   28.5   0.0   2   4    0.0022       5.7    4.5   0.0   265   293  1127  1155  1118  1164 0.80 -
1008_g               -           1784 1619at5794           -           1050   3.4e-07   28.5   0.0   3   4      0.68   1.8e+03   -3.7   0.0   311   425  1209  1330  1199  1332 0.61 -
1008_g               -           1784 1619at5794           -           1050   3.4e-07   28.5   0.0   4   4     7e-08   0.00019   19.4   0.0   480   521  1517  1558  1497  1573 0.80 -
1825_g               -           1784 1619at5794           -           1050   3.4e-07   28.5   0.0   1   4      0.07   1.9e+02   -0.5   0.0    53   112   370   434   351   443 0.63 -
1825_g               -           1784 1619at5794           -           1050   3.4e-07   28.5   0.0   2   4    0.0022       5.7    4.5   0.0   265   293  1127  1155  1118  1164 0.80 -
1825_g               -           1784 1619at5794           -           1050   3.4e-07   28.5   0.0   3   4      0.68   1.8e+03   -3.7   0.0   311   425  1209  1330  1199  1332 0.61 -
1825_g               -           1784 1619at5794           -           1050   3.4e-07   28.5   0.0   4   4     7e-08   0.00019   19.4   0.0   480   521  1517  1558  1497  1573 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/1619at5794.hmm
# Target file:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Tg_new.faa
# Option settings: hmmsearch --domtblout /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Tg/run_apicomplexa_odb10/hmmer_output/initial_run_results/1619at5794.out --cpu 1 /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/1619at5794.hmm /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Tg_new.faa 
# Current dir:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed
# Date:            Wed Mar  1 19:34:40 2023
# [ok]
