# BUSCO version is: 5.4.5 
# The lineage dataset is: apicomplexa_odb10 (Creation date: 2020-09-10, number of genomes: 54, number of BUSCOs: 446)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
274at5794	Complete	578_g	2090.4	1906	https://www.orthodb.org/v10?query=274at5794	Armadillo
330at5794	Complete	960_g	3747.2	1947	https://www.orthodb.org/v10?query=330at5794	Pre-mRNA-processing-splicing factor 8, putative
615at5794	Complete	648_g	1484.1	1332	https://www.orthodb.org/v10?query=615at5794	Clathrin heavy chain
725at5794	Complete	1673_g	1009.2	965	https://www.orthodb.org/v10?query=725at5794	DNA polymerase epsilon catalytic subunit
820at5794	Complete	1125_g	1294.2	1239	https://www.orthodb.org/v10?query=820at5794	WD40-repeat-containing domain
1166at5794	Complete	1884_g	929.0	939	https://www.orthodb.org/v10?query=1166at5794	C2 domain
1204at5794	Missing
1482at5794	Complete	830_g	960.4	829	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1595at5794	Complete	1419_g	1211.8	828	https://www.orthodb.org/v10?query=1595at5794	Aminoacyl-tRNA synthetase, class Ia
1612at5794	Complete	1310_g	1292.0	979	https://www.orthodb.org/v10?query=1612at5794	Splicing factor 3B subunit 3, putative
1619at5794	Complete	1394_g	1816.7	1042	https://www.orthodb.org/v10?query=1619at5794	DNA topoisomerase 2
1870at5794	Complete	1375_g	1136.2	886	https://www.orthodb.org/v10?query=1870at5794	importin-beta N-terminal domain-containing protein
1911at5794	Complete	2691_g	1077.0	920	https://www.orthodb.org/v10?query=1911at5794	C2 domain
1928at5794	Complete	907_g	1533.3	941	https://www.orthodb.org/v10?query=1928at5794	6-phosphofructokinase
1988at5794	Complete	2262_g	884.6	868	https://www.orthodb.org/v10?query=1988at5794	Importin beta-3 subunit, putative
2281at5794	Complete	351_g	397.1	609	https://www.orthodb.org/v10?query=2281at5794	Cap-specific mRNA (Nucleoside-2'-O-)-methyltransferase 2
2321at5794	Complete	1658_g	1410.8	843	https://www.orthodb.org/v10?query=2321at5794	DNA polymerase
2374at5794	Complete	3126_g	1265.1	823	https://www.orthodb.org/v10?query=2374at5794	Oxoglutarate dehydrogenase (Succinyl-transferring), E1 component
2387at5794	Complete	1212_g	1187.1	924	https://www.orthodb.org/v10?query=2387at5794	Exportin, putative
2587at5794	Complete	1512_g	781.3	733	https://www.orthodb.org/v10?query=2587at5794	WD40-repeat-containing domain
2619at5794	Complete	564_g	1096.7	730	https://www.orthodb.org/v10?query=2619at5794	Valyl-tRNA synthetase
2648at5794	Missing
2676at5794	Complete	969_g	1087.1	897	https://www.orthodb.org/v10?query=2676at5794	Leucyl-tRNA synthetase
2708at5794	Missing
2737at5794	Complete	2253_g	633.1	1003	https://www.orthodb.org/v10?query=2737at5794	peptidase M16 inactive domain-containing protein
2816at5794	Complete	1354_g	1436.5	774	https://www.orthodb.org/v10?query=2816at5794	Splicing factor 3B subunit 1, putative
2838at5794	Complete	101_g	934.6	684	https://www.orthodb.org/v10?query=2838at5794	ATP-dependent helicase, C-terminal
