#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
82_g                 -           1381 3686at5794           -            802         0 1023.2  76.5   1   8  8.5e-114  1.2e-111  372.6   5.6     1   176     1   176     1   181 0.98 -
82_g                 -           1381 3686at5794           -            802         0 1023.2  76.5   2   8   1.1e-81   1.6e-79  266.4   6.5   168   351   227   419   221   457 0.87 -
82_g                 -           1381 3686at5794           -            802         0 1023.2  76.5   3   8      0.41        59   -0.0   0.1   325   345   500   520   489   542 0.73 -
82_g                 -           1381 3686at5794           -            802         0 1023.2  76.5   4   8   3.8e-06   0.00055   16.6   3.9   318   381   526   593   510   604 0.74 -
82_g                 -           1381 3686at5794           -            802         0 1023.2  76.5   5   8   2.1e-18     3e-16   57.2   7.4   365   460   610   723   596   733 0.80 -
82_g                 -           1381 3686at5794           -            802         0 1023.2  76.5   6   8   3.2e-35   4.6e-33  112.8   7.0   439   572   733   887   718   899 0.88 -
82_g                 -           1381 3686at5794           -            802         0 1023.2  76.5   7   8   3.4e-05    0.0049   13.5   0.1   591   626  1087  1125  1069  1132 0.81 -
82_g                 -           1381 3686at5794           -            802         0 1023.2  76.5   8   8   5.4e-66   7.8e-64  214.5   4.7   609   802  1147  1367  1137  1367 0.87 -
2959_g               -           1009 3686at5794           -            802   3.3e-72  242.2   9.1   1   2   2.3e-74   3.3e-72  242.2   9.1     4   318    10   320     7   346 0.91 -
2959_g               -           1009 3686at5794           -            802   3.3e-72  242.2   9.1   2   2     6e-06   0.00087   15.9   7.3   447   586   633   798   603   811 0.71 -
2817_g               -            616 3686at5794           -            802   9.3e-37  125.0  12.4   1   2   1.2e-22   1.7e-20   71.2   0.9    47   164   297   414   286   414 0.96 -
2817_g               -            616 3686at5794           -            802   9.3e-37  125.0  12.4   2   2   2.1e-21   3.1e-19   67.0   4.7    33   265   367   596   366   607 0.84 -
4397_g               -            637 3686at5794           -            802   3.3e-31  106.6   5.2   1   2       2.9   4.2e+02   -2.9   0.5   567   606   198   238   168   270 0.48 -
