#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
3519_g               -           1097 2321at5794           -            843         0 1417.6  35.7   1   3   3.5e-10   6.6e-07   26.0   0.7     9    40   116   149   112   163 0.90 -
3519_g               -           1097 2321at5794           -            843         0 1417.6  35.7   2   3    1e-196  1.9e-193  643.1   7.2    32   419   172   621   158   627 0.91 -
3519_g               -           1097 2321at5794           -            843         0 1417.6  35.7   3   3  1.2e-231  2.3e-228  758.5  13.4   418   842   643  1090   636  1091 0.96 -
2902_g               -           1759 2321at5794           -            843   1.1e-56  190.7  19.8   1   4   2.5e-16   4.8e-13   46.3   3.1   170   276   701   813   693   824 0.77 -
2902_g               -           1759 2321at5794           -            843   1.1e-56  190.7  19.8   2   4   1.2e-15   2.2e-12   44.1   0.1   369   417   981  1029   946  1031 0.84 -
2902_g               -           1759 2321at5794           -            843   1.1e-56  190.7  19.8   3   4   3.3e-33   6.2e-30  102.2   1.3   425   624  1098  1299  1092  1304 0.88 -
2902_g               -           1759 2321at5794           -            843   1.1e-56  190.7  19.8   4   4   0.00014      0.27    7.4   0.1   622   740  1320  1453  1318  1473 0.74 -
3597_g               -           1881 2321at5794           -            843   3.8e-43  145.9  33.1   1   6   0.00076       1.4    5.0   0.1    11    40    44    75    37    83 0.84 -
3597_g               -           1881 2321at5794           -            843   3.8e-43  145.9  33.1   2   6    0.0012       2.4    4.3   0.7    55   102   129   185   105   228 0.58 -
3597_g               -           1881 2321at5794           -            843   3.8e-43  145.9  33.1   3   6     0.079   1.5e+02   -1.7   0.4   169   261   690   777   683   781 0.76 -
3597_g               -           1881 2321at5794           -            843   3.8e-43  145.9  33.1   4   6   4.8e-16     9e-13   45.4   1.0   309   426   849   974   843   978 0.85 -
3597_g               -           1881 2321at5794           -            843   3.8e-43  145.9  33.1   5   6   1.9e-36   3.5e-33  112.9   1.4   418   612  1135  1327  1126  1338 0.91 -
3597_g               -           1881 2321at5794           -            843   3.8e-43  145.9  33.1   6   6      0.15   2.9e+02   -2.6   0.7   791   840  1823  1873  1815  1876 0.79 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/2321at5794.hmm
# Target file:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pv_new.faa
# Option settings: hmmsearch --domtblout /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pv/run_apicomplexa_odb10/hmmer_output/initial_run_results/2321at5794.out --cpu 1 /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/2321at5794.hmm /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pv_new.faa 
# Current dir:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed
# Date:            Wed Mar  1 19:31:33 2023
# [ok]
