#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
714_g                -           1474 3686at5794           -            802         0 1041.0  59.3   1   7  4.3e-117  5.4e-115  384.0   3.8     1   181    57   236    57   254 0.95 -
714_g                -           1474 3686at5794           -            802         0 1041.0  59.3   2   7   5.7e-83   7.2e-81  271.1   3.6   168   348   290   479   283   510 0.88 -
714_g                -           1474 3686at5794           -            802         0 1041.0  59.3   3   7   2.3e-05    0.0029   14.4   0.8   311   378   628   700   616   711 0.69 -
714_g                -           1474 3686at5794           -            802         0 1041.0  59.3   4   7   6.9e-20   8.6e-18   62.5   2.5   359   453   713   826   699   839 0.81 -
714_g                -           1474 3686at5794           -            802         0 1041.0  59.3   5   7   4.5e-34   5.6e-32  109.4   5.2   441   572   847   999   837  1011 0.87 -
714_g                -           1474 3686at5794           -            802         0 1041.0  59.3   6   7   3.2e-05    0.0041   14.0   0.0   590   625  1189  1224  1159  1232 0.78 -
714_g                -           1474 3686at5794           -            802         0 1041.0  59.3   7   7   4.5e-66   5.7e-64  215.2   3.2   614   802  1245  1460  1237  1460 0.88 -
3759_g               -           1013 3686at5794           -            802   1.1e-71  240.7  27.4   1   3     3e-71   3.7e-69  232.4   8.9     4   322    10   324     7   349 0.90 -
3759_g               -           1013 3686at5794           -            802   1.1e-71  240.7  27.4   2   3       1.9   2.4e+02   -1.8   0.2   383   435   540   595   530   607 0.73 -
3759_g               -           1013 3686at5794           -            802   1.1e-71  240.7  27.4   3   3   1.6e-06    0.0002   18.3   5.3   421   585   610   802   594   816 0.74 -
4402_g               -            590 3686at5794           -            802   7.1e-37  125.6  12.1   1   3       1.1   1.4e+02   -1.0   0.5   527   561   162   196    85   209 0.76 -
