# BUSCO version is: 5.4.5 
# The lineage dataset is: apicomplexa_odb10 (Creation date: 2020-09-10, number of genomes: 54, number of BUSCOs: 446)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
274at5794	Complete	412_g	2366.9	1929	https://www.orthodb.org/v10?query=274at5794	Armadillo
330at5794	Complete	2952_g	3791.0	1943	https://www.orthodb.org/v10?query=330at5794	Pre-mRNA-processing-splicing factor 8, putative
615at5794	Complete	2280_g	1600.2	1411	https://www.orthodb.org/v10?query=615at5794	Clathrin heavy chain
725at5794	Complete	508_g	1688.7	1451	https://www.orthodb.org/v10?query=725at5794	DNA polymerase epsilon catalytic subunit
820at5794	Complete	1026_g	1401.3	1157	https://www.orthodb.org/v10?query=820at5794	WD40-repeat-containing domain
1166at5794	Complete	1285_g	1020.4	963	https://www.orthodb.org/v10?query=1166at5794	C2 domain
1204at5794	Complete	569_g	1497.2	1211	https://www.orthodb.org/v10?query=1204at5794	Zinc finger, PHD-type
1482at5794	Complete	1533_g	488.5	711	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1595at5794	Complete	991_g	1240.1	808	https://www.orthodb.org/v10?query=1595at5794	Aminoacyl-tRNA synthetase, class Ia
1612at5794	Complete	2430_g	1423.9	970	https://www.orthodb.org/v10?query=1612at5794	Splicing factor 3B subunit 3, putative
1619at5794	Complete	1637_g	1857.2	1056	https://www.orthodb.org/v10?query=1619at5794	DNA topoisomerase 2
1870at5794	Missing
1911at5794	Complete	2711_g	1292.0	1059	https://www.orthodb.org/v10?query=1911at5794	C2 domain
1928at5794	Missing
1988at5794	Complete	83_g	957.1	868	https://www.orthodb.org/v10?query=1988at5794	Importin beta-3 subunit, putative
2281at5794	Complete	2841_g	519.1	575	https://www.orthodb.org/v10?query=2281at5794	Cap-specific mRNA (Nucleoside-2'-O-)-methyltransferase 2
2321at5794	Missing
2374at5794	Missing
2387at5794	Missing
2587at5794	Complete	2747_g	876.2	722	https://www.orthodb.org/v10?query=2587at5794	WD40-repeat-containing domain
