#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
692_g                -           1414 3686at5794           -            802         0 1020.4  57.4   1   8  3.2e-117    4e-115  384.4   4.1     1   180     1   180     1   192 0.96 -
692_g                -           1414 3686at5794           -            802         0 1020.4  57.4   2   8     9e-83   1.1e-80  270.5   3.9   166   348   225   416   215   444 0.88 -
692_g                -           1414 3686at5794           -            802         0 1020.4  57.4   3   8      0.83     1e+02   -0.6   0.0   322   350   542   570   532   581 0.79 -
692_g                -           1414 3686at5794           -            802         0 1020.4  57.4   4   8   2.8e-05    0.0034   14.2   1.0   338   379   584   626   549   645 0.76 -
692_g                -           1414 3686at5794           -            802         0 1020.4  57.4   5   8     3e-19   3.6e-17   60.4   0.4   365   453   646   751   626   762 0.82 -
692_g                -           1414 3686at5794           -            802         0 1020.4  57.4   6   8   1.7e-34   2.1e-32  110.8   5.2   444   572   775   924   771   936 0.87 -
692_g                -           1414 3686at5794           -            802         0 1020.4  57.4   7   8   6.7e-05    0.0083   12.9   0.0   590   622  1114  1146  1067  1155 0.81 -
692_g                -           1414 3686at5794           -            802         0 1020.4  57.4   8   8   1.1e-59   1.4e-57  194.1   4.2   614   802  1170  1400  1157  1400 0.83 -
3755_g               -           1014 3686at5794           -            802   7.3e-71  238.0  29.1   1   3   1.9e-71   2.4e-69  233.0   7.9     4   318    10   320     7   336 0.90 -
3755_g               -           1014 3686at5794           -            802   7.3e-71  238.0  29.1   2   3      0.97   1.2e+02   -0.9   1.0   383   437   541   598   528   609 0.76 -
3755_g               -           1014 3686at5794           -            802   7.3e-71  238.0  29.1   3   3   5.7e-06    0.0007   16.5   5.5   421   560   611   776   595   817 0.72 -
4409_g               -            596 3686at5794           -            802   1.1e-36  125.0  12.2   1   2     3e-23   3.7e-21   73.6   0.7    49   166   279   396   271   398 0.97 -
4409_g               -            596 3686at5794           -            802   1.1e-36  125.0  12.2   2   2   1.9e-20   2.3e-18   64.4   4.9    34   265   348   576   347   584 0.84 -
197_g                -            646 3686at5794           -            802   5.2e-33  112.8   7.9   1   2         3   3.7e+02   -2.5   4.5   538   620   182   266    80   315 0.49 -
197_g                -            646 3686at5794           -            802   5.2e-33  112.8   7.9   2   2   4.2e-35   5.2e-33  112.8   7.9     9   275   365   616   357   632 0.92 -
4811_g               -            661 3686at5794           -            802   4.7e-28   96.4  11.7   1   4   2.5e-12   3.1e-10   37.5   0.1   180   270   113   200   102   215 0.82 -
4811_g               -            661 3686at5794           -            802   4.7e-28   96.4  11.7   2   4   2.5e-08     3e-06   24.3   0.7   205   288   342   425   334   450 0.73 -
4811_g               -            661 3686at5794           -            802   4.7e-28   96.4  11.7   3   4   1.3e-11   1.6e-09   35.1   0.5    67   169   467   571   457   580 0.77 -
4811_g               -            661 3686at5794           -            802   4.7e-28   96.4  11.7   4   4     0.024       2.9    4.5   0.0   184   216   626   658   609   660 0.82 -
3255_g               -            347 3686at5794           -            802   8.3e-25   85.7   4.6   1   3    0.0032      0.39    7.4   0.0   133   193    42    99    37   106 0.74 -
3255_g               -            347 3686at5794           -            802   8.3e-25   85.7   4.6   2   3   6.6e-17   8.1e-15   52.6   2.6    64   166   107   213   103   220 0.85 -
3255_g               -            347 3686at5794           -            802   8.3e-25   85.7   4.6   3   3     2e-10   2.5e-08   31.2   0.0    34   129   207   300   206   342 0.92 -
4353_g               -            925 3686at5794           -            802   1.7e-24   84.6   0.4   1   2     1e-20   1.3e-18   65.2   0.3    61   275   224   426   220   427 0.85 -
4353_g               -            925 3686at5794           -            802   1.7e-24   84.6   0.4   2   2   9.1e-07   0.00011   19.1   0.0    33   118   409   495   409   506 0.87 -
3290_g               -            325 3686at5794           -            802   1.5e-22   78.2   7.5   1   3   1.3e-06   0.00016   18.6   0.3    90   166    34   111    30   116 0.71 -
3290_g               -            325 3686at5794           -            802   1.5e-22   78.2   7.5   2   3   8.5e-15     1e-12   45.6   1.7    35   165   106   234   103   245 0.92 -
3290_g               -            325 3686at5794           -            802   1.5e-22   78.2   7.5   3   3   7.6e-08   9.3e-06   22.7   0.0    63   117   265   319   259   322 0.80 -
1294_g               -           1216 3686at5794           -            802   4.6e-21   73.3  19.7   1   5     4e-12   4.9e-10   36.8   0.0    11   103    68   161    65   164 0.91 -
1294_g               -           1216 3686at5794           -            802   4.6e-21   73.3  19.7   2   5   5.4e-07   6.7e-05   19.8   0.8   226   301   157   234   155   238 0.73 -
1294_g               -           1216 3686at5794           -            802   4.6e-21   73.3  19.7   3   5      0.55        67   -0.0   0.2   277   347   344   414   330   438 0.82 -
1294_g               -           1216 3686at5794           -            802   4.6e-21   73.3  19.7   4   5      0.04         5    3.7   0.2   216   298   595   675   587   722 0.74 -
